time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-23T12:20:36.180Z,-5.366500,150.621600,182.270000,4.600000,mb,,79.000000,1.930000,1.360000,us,us20005c0q,2016-03-23T20:23:09.777Z,"56km ENE of Kimbe, Papua New Guinea",earthquake,5.600000,7.800000,0.092000,35.000000,reviewed,us,us

2016-03-23T11:45:16.750Z,36.863200,-98.340900,4.080000,2.900000,mb_lg,,86.000000,0.120000,0.200000,us,us20005c0j,2016-03-23T19:47:49.268Z,"12km N of Cherokee, Oklahoma",earthquake,1.700000,7.800000,0.081000,40.000000,reviewed,us,us

2016-03-23T11:20:25.200Z,18.880300,-66.093800,26.000000,3.400000,Md,19.000000,216.000000,0.567735,0.310000,pr,pr16083001,2016-03-23T19:23:09.955Z,"45km N of San Juan, Puerto Rico",earthquake,1.300000,11.000000,0.000000,18.000000,reviewed,pr,pr

2016-03-23T10:50:03.530Z,24.560000,96.027100,62.660000,4.400000,mb,,113.000000,3.913000,0.740000,us,us20005c0c,2016-03-23T18:52:32.090Z,"126km WNW of Bhamo, Burma",earthquake,11.700000,4.100000,0.109000,24.000000,reviewed,us,us

2016-03-23T09:13:15.180Z,31.468000,142.325700,7.570000,4.500000,mb,,125.000000,2.687000,0.620000,us,us20005c03,2016-03-23T17:15:52.840Z,"297km SE of Hachijo-jima, Japan",earthquake,6.900000,4.300000,0.103000,28.000000,reviewed,us,us

2016-03-23T07:48:25.040Z,36.709800,52.314100,10.000000,4.300000,mb,,123.000000,4.782000,1.450000,us,us20005bzm,2016-03-23T09:01:19.925Z,"18km W of Fereydun Kenar, Iran",earthquake,10.700000,2.000000,0.142000,14.000000,reviewed,us,us

2016-03-23T04:55:04.000Z,51.618600,-173.506900,46.400000,4.000000,ml,,,,0.660000,ak,ak13053267,2016-03-23T17:05:18.639Z,"80km SE of Atka, Alaska",earthquake,4.000000,6.000000,,,reviewed,ak,ak

2016-03-23T01:42:00.400Z,18.940000,-68.265500,64.000000,2.900000,Md,8.000000,273.600000,0.437480,0.310000,pr,pr16083000,2016-03-23T09:44:40.272Z,"42km NNE of Punta Cana, Dominican Republic",earthquake,4.600000,4.400000,0.000000,6.000000,reviewed,pr,pr

2016-03-23T01:32:39.400Z,0.440800,123.803400,218.480000,4.100000,mb,,76.000000,1.798000,1.090000,us,us20005bxw,2016-03-23T09:35:22.563Z,"20km WNW of Molibagu, Indonesia",earthquake,8.400000,4.500000,0.117000,20.000000,reviewed,us,us

2016-03-23T01:12:47.620Z,13.325700,-89.078900,69.060000,4.200000,mb,,161.000000,0.388000,1.230000,us,us20005bxt,2016-03-23T09:15:29.984Z,"19km SSW of El Rosario, El Salvador",earthquake,7.800000,9.100000,0.079000,45.000000,reviewed,us,us

2016-03-23T00:38:00.490Z,-31.770100,-71.422800,45.540000,4.800000,mb,,142.000000,0.670000,0.680000,us,us20005bxq,2016-03-23T01:01:12.981Z,"28km WSW of Illapel, Chile",earthquake,4.700000,7.000000,0.062000,80.000000,reviewed,us,us

2016-03-23T00:17:03.940Z,-14.921500,167.292600,125.510000,4.600000,mb,,178.000000,0.529000,1.330000,us,us20005bxr,2016-03-23T08:19:30.602Z,"29km ENE of Port-Olry, Vanuatu",earthquake,15.300000,5.500000,0.158000,12.000000,reviewed,us,us

2016-03-22T23:17:49.500Z,18.089000,-67.206100,22.000000,2.500000,Md,8.000000,187.200000,0.122171,0.210000,pr,pr16082008,2016-03-23T07:20:50.703Z,"2km NW of Puerto Real, Puerto Rico",earthquake,0.600000,1.100000,0.000000,7.000000,reviewed,pr,pr

2016-03-22T22:14:47.400Z,-2.860700,129.782500,10.000000,4.500000,mb,,90.000000,4.341000,0.900000,us,us20005bwq,2016-03-23T06:17:18.845Z,"109km ENE of Amahai, Indonesia",earthquake,8.300000,1.900000,0.099000,30.000000,reviewed,us,us

2016-03-22T20:24:20.310Z,34.987600,33.822600,57.830000,4.000000,mb,,109.000000,0.404000,1.020000,us,us20005bvd,2016-03-23T07:26:47.361Z,"5km SSW of Avgorou, Cyprus",earthquake,7.700000,8.600000,0.111000,25.000000,reviewed,us,us

2016-03-22T20:14:55.390Z,36.509600,71.137400,95.230000,4.500000,mb,,184.000000,0.762000,0.990000,us,us20005bv2,2016-03-23T04:17:24.140Z,"40km WSW of Ashkasham, Afghanistan",earthquake,7.700000,7.900000,0.171000,10.000000,reviewed,us,us

2016-03-22T19:37:09.000Z,59.287300,-153.629000,120.900000,2.700000,ml,,,,0.850000,ak,ak13047724,2016-03-23T03:39:46.032Z,"89km SE of Old Iliamna, Alaska",earthquake,1.000000,0.500000,,,automatic,ak,ak

2016-03-22T18:47:04.500Z,1.687300,125.334400,118.170000,5.000000,mb,,60.000000,2.226000,1.300000,us,us20005bu1,2016-03-23T02:49:32.560Z,"31km NNE of Bitung, Indonesia",earthquake,6.500000,6.300000,0.066000,74.000000,reviewed,us,us

2016-03-22T18:44:41.900Z,18.879400,-64.458000,24.000000,3.000000,Md,9.000000,298.800000,0.484192,0.100000,pr,pr16082005,2016-03-23T02:47:23.656Z,"53km NNE of Road Town, British Virgin Islands",earthquake,1.600000,9.500000,0.000000,8.000000,reviewed,pr,pr

2016-03-22T17:41:17.770Z,36.471800,-98.739500,8.930000,2.500000,mb_lg,,70.000000,0.006000,0.450000,us,us20005bte,2016-03-23T01:43:51.888Z,"32km NW of Fairview, Oklahoma",earthquake,1.200000,1.700000,0.361000,2.000000,reviewed,us,us

2016-03-22T17:29:32.930Z,6.101400,126.998800,136.570000,4.800000,mb,,46.000000,1.707000,0.910000,us,us20005bsq,2016-03-24T15:07:40.625Z,"95km ESE of Pondaguitan, Philippines",earthquake,7.200000,6.200000,0.053000,111.000000,reviewed,us,us

2016-03-22T14:32:38.300Z,1.066400,126.454600,51.230000,4.500000,mb,,81.000000,0.957000,0.550000,us,us20005bqa,2016-03-22T22:35:25.255Z,"106km WNW of Kota Ternate, Indonesia",earthquake,8.000000,8.700000,0.093000,34.000000,reviewed,us,us

2016-03-22T14:21:09.000Z,60.931900,-150.633300,48.900000,2.500000,ml,,,,0.610000,ak,ak13044612,2016-03-22T22:23:42.478Z,"44km N of Sterling, Alaska",earthquake,0.300000,0.600000,,,automatic,ak,ak

2016-03-22T14:09:35.860Z,17.329200,-61.586400,42.150000,4.600000,mb,,124.000000,0.387000,0.630000,us,us20005bq0,2016-03-23T00:59:13.212Z,"32km NE of Parham, Antigua and Barbuda",earthquake,5.300000,7.000000,0.046000,145.000000,reviewed,us,us

2016-03-22T13:44:13.223Z,38.475800,-118.379200,5.400000,2.500000,ml,16.000000,81.500000,0.052000,0.181200,nn,nn00536856,2016-03-23T03:37:54.399Z,"22km ESE of Hawthorne, Nevada",earthquake,1.010000,2.900000,0.350000,5.000000,reviewed,nn,nn

2016-03-22T13:25:17.990Z,35.743500,31.741200,60.450000,4.500000,mb,,52.000000,1.516000,0.740000,us,us20005bpy,2016-03-22T21:27:47.462Z,"78km SW of Gazipasa, Turkey",earthquake,6.500000,7.900000,0.059000,83.000000,reviewed,us,us

2016-03-22T12:48:15.750Z,52.015200,157.612200,118.850000,4.400000,mb,,165.000000,1.096000,0.820000,us,us20005bpu,2016-03-22T20:51:09.766Z,"94km NE of Ozernovskiy, Russia",earthquake,10.500000,7.100000,0.062000,75.000000,reviewed,us,us

